 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    500.000     499.843         0.500      5.607      2.8579e-01      7.7904e-02      2.2264e-02      9.7995e-03    5.494e-02     2.245e+01       1.98e+00    2.50e-01    479349 
    500.000     499.843         0.600      5.607      2.8579e-01      8.4160e-02      2.4052e-02      1.0600e-02    5.943e-02     2.076e+01       2.15e+00    2.70e-01    544127 
    500.000     499.843         0.700      5.607      2.8579e-01      8.8534e-02      2.5302e-02      1.1153e-02    6.253e-02     1.973e+01       2.26e+00    2.84e-01    597741 
    500.000     499.843         0.800      5.607      2.8579e-01      9.0788e-02      2.5946e-02      1.1427e-02    6.407e-02     1.925e+01       2.31e+00    2.91e-01    639505 
    500.000     499.843         0.900      5.607      2.8579e-01      9.1780e-02      2.6230e-02      1.1550e-02    6.476e-02     1.905e+01       2.34e+00    2.94e-01    675234 
    500.000     499.843         1.000      5.607      2.8579e-01      9.2081e-02      2.6316e-02      1.1585e-02    6.496e-02     1.899e+01       2.34e+00    2.95e-01    704357 
    500.000     499.843         1.500      5.607      2.8579e-01      8.7095e-02      2.4891e-02      1.0918e-02    6.121e-02     2.015e+01       2.21e+00    2.78e-01    792647 
    500.000     499.843         2.000      5.607      2.8579e-01      7.9400e-02      2.2692e-02      9.9278e-03    5.566e-02     2.216e+01       2.01e+00    2.53e-01    836564 
    500.000     499.843         2.500      5.607      2.8579e-01      7.2166e-02      2.0625e-02      9.0067e-03    5.050e-02     2.443e+01       1.82e+00    2.30e-01    859029 
    500.000     499.843         3.000      5.607      2.8579e-01      6.5658e-02      1.8765e-02      8.1736e-03    4.583e-02     2.692e+01       1.65e+00    2.08e-01    873239 
    500.000     499.843         4.000      5.607      2.8579e-01      5.5505e-02      1.5863e-02      6.8858e-03    3.861e-02     3.195e+01       1.39e+00    1.75e-01    888682 
    500.000     499.843         5.000      5.607      2.8579e-01      4.7915e-02      1.3694e-02      5.9303e-03    3.325e-02     3.710e+01       1.20e+00    1.51e-01    894811 
