#            mprod              mhscp              width               c300
     1.5000000e+03      2.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5500000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.6000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      2.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      2.5000000e+02      0.0000000e+00      0.0000000e+00
     1.6000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.6000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      2.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      3.0000000e+02      0.0000000e+00      0.0000000e+00
     1.6000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.6000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      3.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      3.5000000e+02      0.0000000e+00      0.0000000e+00
     1.6000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.7000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      3.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      4.0000000e+02      0.0000000e+00      0.0000000e+00
     1.7000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.8000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      4.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      4.5000000e+02      0.0000000e+00      0.0000000e+00
     1.8000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.8000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      4.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      5.0000000e+02      0.0000000e+00      0.0000000e+00
     1.8000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.8000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      5.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      5.5000000e+02      0.0000000e+00      6.6057815e-01
     1.5000000e+03      5.5000000e+02      1.0000000e-19      6.5774068e-01
     1.5000000e+03      5.5000000e+02      3.2000000e-18      5.7485501e-01
     1.5000000e+03      5.5000000e+02      1.0000000e-17      4.2538907e-01
     1.5000000e+03      5.5000000e+02      2.2000000e-17      2.4866738e-01
     1.5000000e+03      5.5000000e+02      4.6000000e-17      8.6941990e-02
     1.5000000e+03      5.5000000e+02      6.8000000e-17      3.4750999e-02
     1.5000000e+03      5.5000000e+02      1.0000000e-16      9.8849357e-03
     1.5000000e+03      5.5000000e+02      1.5000000e-16      1.5991606e-03
     1.5000000e+03      5.5000000e+02      2.2000000e-16      1.5313885e-04
     1.5000000e+03      5.5000000e+02      3.2000000e-16      7.0688688e-06
     1.5000000e+03      5.5000000e+02      4.6000000e-16      1.3846788e-07
     1.5000000e+03      5.5000000e+02      6.8000000e-16      5.3666115e-10
     3.0000000e+03      5.5000000e+02      4.6000000e-17      3.6213252e-02
     1.8000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      5.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      6.0000000e+02      0.0000000e+00      6.8110720e-01
     1.5000000e+03      6.0000000e+02      1.0000000e-19      6.7816347e-01
     3.0000000e+03      5.5000000e+02      6.8000000e-17      1.5236999e-02
     1.5000000e+03      6.0000000e+02      3.2000000e-18      5.9205095e-01
     3.0000000e+03      5.5000000e+02      1.0000000e-16      4.6701420e-03
     1.5000000e+03      6.0000000e+02      1.0000000e-17      4.3645358e-01
     1.5000000e+03      6.0000000e+02      2.2000000e-17      2.5284010e-01
     1.5000000e+03      6.0000000e+02      4.6000000e-17      8.6670731e-02
     1.5000000e+03      6.0000000e+02      6.8000000e-17      3.4072976e-02
     1.5000000e+03      6.0000000e+02      1.0000000e-16      9.4962271e-03
     1.5000000e+03      6.0000000e+02      1.5000000e-16      1.4983077e-03
     1.5000000e+03      6.0000000e+02      2.2000000e-16      1.3973414e-04
     1.5000000e+03      6.0000000e+02      3.2000000e-16      6.2581986e-06
     1.5000000e+03      6.0000000e+02      4.6000000e-16      1.1713803e-07
     1.5000000e+03      6.0000000e+02      6.8000000e-16      3.9989987e-10
     2.0000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     2.0000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+03      6.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      6.5000000e+02      0.0000000e+00      6.8796080e-01
     1.5000000e+03      6.5000000e+02      1.0000000e-19      6.8494304e-01
     1.5000000e+03      6.5000000e+02      3.2000000e-18      5.9665422e-01
     1.5000000e+03      6.5000000e+02      1.0000000e-17      4.3732031e-01
     1.5000000e+03      6.5000000e+02      3.2000000e-17      1.5780630e-01
     1.5000000e+03      6.5000000e+02      4.6000000e-17      8.3835365e-02
     1.5000000e+03      6.5000000e+02      6.8000000e-17      3.2307385e-02
