#          mC1_GeV            mN1_GeV          width_GeV                eff
     5.9989000e+02      5.9971700e+02      8.2275000e-16      6.5601000e-03
     5.9989000e+02      5.9971700e+02      7.3133333e-16      6.6853000e-03
     5.9989000e+02      5.9971700e+02      6.5820000e-16      6.7440000e-03
     5.9989000e+02      5.9971700e+02      4.3880000e-16      6.4973000e-03
     5.9989000e+02      5.9971700e+02      3.2910000e-16      5.9509000e-03
     5.9989000e+02      5.9971700e+02      2.6328000e-16      5.4105000e-03
     5.9989000e+02      5.9971700e+02      2.1940000e-16      4.9199000e-03
     5.9989000e+02      5.9971700e+02      1.6455000e-16      4.1290000e-03
     5.9989000e+02      5.9971700e+02      1.3164000e-16      3.5491000e-03
     5.9989000e+02      5.9971700e+02      1.0970000e-16      3.1028000e-03
     5.9989000e+02      5.9971700e+02      9.4028571e-17      2.7540000e-03
     5.9989000e+02      5.9971700e+02      8.2275000e-17      2.4735000e-03
     5.9989000e+02      5.9971700e+02      7.3133333e-17      2.2485000e-03
     5.9989000e+02      5.9971700e+02      6.5820000e-17      2.0525000e-03
     7.0006500e+02      6.9989100e+02      6.5820000e-14      0.0000000e+00
     7.0006500e+02      6.9989100e+02      4.3880000e-14      1.2035000e-08
     7.0006500e+02      6.9989100e+02      3.2910000e-14      5.3169000e-08
     7.0006500e+02      6.9989100e+02      2.6328000e-14      3.2149000e-07
     7.0006500e+02      6.9989100e+02      2.1940000e-14      1.1368000e-06
     7.0006500e+02      6.9989100e+02      1.6455000e-14      6.6946000e-06
     7.0006500e+02      6.9989100e+02      1.3164000e-14      2.0370000e-05
     7.0006500e+02      6.9989100e+02      1.0970000e-14      4.7253000e-05
     7.0006500e+02      6.9989100e+02      9.4028571e-15      8.9516000e-05
     7.0006500e+02      6.9989100e+02      8.2275000e-15      1.4978000e-04
     7.0006500e+02      6.9989100e+02      7.3133333e-15      2.2829000e-04
     7.0006500e+02      6.9989100e+02      6.5820000e-15      3.2063000e-04
     7.0006500e+02      6.9989100e+02      4.3880000e-15      9.8766000e-04
     7.0006500e+02      6.9989100e+02      3.2910000e-15      1.8198000e-03
     7.0006500e+02      6.9989100e+02      2.6328000e-15      2.6789000e-03
     7.0006500e+02      6.9989100e+02      2.1940000e-15      3.4777000e-03
     7.0006500e+02      6.9989100e+02      1.6455000e-15      4.8033000e-03
     7.0006500e+02      6.9989100e+02      1.3164000e-15      5.7697000e-03
     7.0006500e+02      6.9989100e+02      1.0970000e-15      6.4405000e-03
     7.0006500e+02      6.9989100e+02      9.4028571e-16      6.9064000e-03
     7.0006500e+02      6.9989100e+02      8.2275000e-16      7.1960000e-03
     7.0006500e+02      6.9989100e+02      7.3133333e-16      7.3751000e-03
     7.0006500e+02      6.9989100e+02      6.5820000e-16      7.4744000e-03
     7.0006500e+02      6.9989100e+02      4.3880000e-16      7.2886000e-03
     7.0006500e+02      6.9989100e+02      3.2910000e-16      6.7314000e-03
     7.0006500e+02      6.9989100e+02      2.6328000e-16      6.1590000e-03
     7.0006500e+02      6.9989100e+02      2.1940000e-16      5.6316000e-03
     7.0006500e+02      6.9989100e+02      1.6455000e-16      4.7588000e-03
     7.0006500e+02      6.9989100e+02      1.3164000e-16      4.1093000e-03
     7.0006500e+02      6.9989100e+02      1.0970000e-16      3.5966000e-03
     7.0006500e+02      6.9989100e+02      9.4028571e-17      3.2023000e-03
     7.0006500e+02      6.9989100e+02      8.2275000e-17      2.8823000e-03
     7.0006500e+02      6.9989100e+02      7.3133333e-17      2.6219000e-03
     7.0006500e+02      6.9989100e+02      6.5820000e-17      2.4002000e-03
